server,spec_id,bucket_timestamp,bucket_str,rmb_per_wan,trading_volume,fetched_at
云樱岛,324997,1786690800000,2026-08-14 15,5.547,255,2026-08-15T06:50:12.456Z
云樱岛,324997,1786694400000,2026-08-14 16,5.597,2198,2026-08-15T08:37:14.218Z
云樱岛,324997,1786698000000,2026-08-14 17,5.607,319,2026-08-15T09:32:44.357Z
云樱岛,324997,1786701600000,2026-08-14 18,5.648,265,2026-08-15T10:30:14.902Z
云樱岛,324997,1786705200000,2026-08-14 19,5.749,954,2026-08-15T10:30:14.902Z
云樱岛,324997,1786708800000,2026-08-14 20,5.618,44,2026-08-15T12:51:11.925Z
云樱岛,324997,1786712400000,2026-08-14 21,5.728,555,2026-08-15T13:36:28.211Z
云樱岛,324997,1786716000000,2026-08-14 22,5.752,533,2026-08-15T14:30:15.192Z
云樱岛,324997,1786719600000,2026-08-14 23,5.837,185,2026-08-15T15:28:40.183Z
云樱岛,324997,1786723200000,2026-08-15 00,5.794,83,2026-08-15T15:28:40.183Z
云樱岛,324997,1786726800000,2026-08-15 01,5.833,543,2026-08-15T17:27:23.182Z
云樱岛,324997,1786730400000,2026-08-15 02,5.833,0,2026-08-15T17:27:23.182Z
云樱岛,324997,1786734000000,2026-08-15 03,5.833,0,2026-08-15T17:27:23.182Z
云樱岛,324997,1786737600000,2026-08-15 04,5.833,0,2026-08-15T17:27:23.182Z
云樱岛,324997,1786741200000,2026-08-15 05,5.833,0,2026-08-15T17:27:23.182Z
云樱岛,324997,1786744800000,2026-08-15 06,5.833,0,2026-08-15T17:27:23.182Z
云樱岛,324997,1786748400000,2026-08-15 07,5.702,7,2026-08-15T23:26:42.346Z
云樱岛,324997,1786752000000,2026-08-15 08,5.702,0,2026-08-15T23:26:42.346Z
云樱岛,324997,1786755600000,2026-08-15 09,5.702,316,2026-08-16T01:47:21.843Z
云樱岛,324997,1786759200000,2026-08-15 10,5.702,76,2026-08-16T01:47:21.843Z
云樱岛,324997,1786762800000,2026-08-15 11,5.784,408,2026-08-16T01:47:21.843Z
云樱岛,324997,1786766400000,2026-08-15 12,5.812,378,2026-08-16T04:42:25.003Z
云樱岛,324997,1786770000000,2026-08-15 13,5.813,510,2026-08-16T05:34:50.194Z
云樱岛,324997,1786773600000,2026-08-15 14,5.835,60,2026-08-16T06:51:43.207Z
云樱岛,324997,1786777200000,2026-08-15 15,5.843,1720,2026-08-16T07:37:37.425Z
云樱岛,324997,1786780800000,2026-08-15 16,5.822,130,2026-08-16T08:38:20.561Z
云樱岛,324997,1786784400000,2026-08-15 17,5.81,96,2026-08-16T09:34:09.750Z
云樱岛,324997,1786788000000,2026-08-15 18,5.862,149,2026-08-16T10:30:23.501Z
云樱岛,324997,1786791600000,2026-08-15 19,5.895,568,2026-08-16T11:26:34.668Z
云樱岛,324997,1786795200000,2026-08-15 20,5.879,146,2026-08-16T12:52:26.806Z
云樱岛,324997,1786798800000,2026-08-15 21,5.894,546,2026-08-16T12:52:26.806Z
云樱岛,324997,1786802400000,2026-08-15 22,5.982,1280,2026-08-16T14:30:31.192Z
云樱岛,324997,1786806000000,2026-08-15 23,5.903,202,2026-08-16T14:30:31.192Z
云樱岛,324997,1786809600000,2026-08-16 00,5.908,1992,2026-08-16T16:34:01.871Z
云樱岛,324997,1786813200000,2026-08-16 01,5.889,396,2026-08-16T16:34:01.871Z
云樱岛,324997,1786816800000,2026-08-16 02,5.902,300,2026-08-16T16:34:01.871Z
云樱岛,324997,1786820400000,2026-08-16 03,5.701,120,2026-08-16T19:26:22.801Z
云樱岛,324997,1786825858776,2026-08-16 04,5.701,0,2026-08-16T20:30:48.175Z
云樱岛,324997,1786827600000,2026-08-16 05,5.701,0,2026-08-16T20:30:48.175Z
云樱岛,324997,1786831200000,2026-08-16 06,5.701,31,2026-08-16T22:28:31.195Z
云樱岛,324997,1786834800000,2026-08-16 07,5.701,35,2026-08-16T22:28:31.195Z
云樱岛,324997,1786838400000,2026-08-16 08,6.016,270,2026-08-16T22:28:31.195Z
云樱岛,324997,1786842000000,2026-08-16 09,5.85,756,2026-08-17T01:45:37.141Z
云樱岛,324997,1786845600000,2026-08-16 10,5.982,571,2026-08-17T01:45:37.141Z
云樱岛,324997,1786849200000,2026-08-16 11,5.876,1009,2026-08-17T01:45:37.141Z
云樱岛,324997,1786852800000,2026-08-16 12,5.872,800,2026-08-17T04:51:28.604Z
云樱岛,324997,1786856400000,2026-08-16 13,5.812,931,2026-08-17T04:51:28.604Z
云樱岛,324997,1786860000000,2026-08-16 14,5.798,1708,2026-08-17T04:51:28.604Z
云樱岛,324997,1786863600000,2026-08-16 15,5.982,4229,2026-08-17T07:08:32.325Z
云樱岛,324997,1786867200000,2026-08-16 16,5.877,978,2026-08-17T07:08:32.325Z
云樱岛,324997,1786870800000,2026-08-16 17,5.819,1235,2026-08-17T09:50:55.698Z
云樱岛,324997,1786874400000,2026-08-16 18,5.791,321,2026-08-17T09:50:55.698Z
云樱岛,324997,1786878000000,2026-08-16 19,5.781,1166,2026-08-17T11:32:32.497Z
云樱岛,324997,1786881600000,2026-08-16 20,5.69,269,2026-08-17T12:57:12.908Z
云樱岛,324997,1786885200000,2026-08-16 21,5.577,528,2026-08-17T13:44:49.386Z
云樱岛,324997,1786888800000,2026-08-16 22,5.527,871,2026-08-17T13:44:49.386Z
云樱岛,324997,1786892400000,2026-08-16 23,5.459,403,2026-08-17T15:32:01.591Z
云樱岛,324997,1786896000000,2026-08-17 00,5.532,322,2026-08-17T16:35:33.344Z
云樱岛,324997,1786899600000,2026-08-17 01,5.417,129,2026-08-17T16:35:33.344Z
云樱岛,324997,1786903200000,2026-08-17 02,5.577,30,2026-08-17T18:49:49.813Z
云樱岛,324997,1786908841617,2026-08-17 03,5.577,0,2026-08-17T19:33:51.073Z
云樱岛,324997,1786910400000,2026-08-17 04,5.577,600,2026-08-17T19:33:51.073Z
云樱岛,324997,1786914000000,2026-08-17 05,5.577,0,2026-08-17T19:33:51.073Z
云樱岛,324997,1786919488335,2026-08-17 06,5.311,0,2026-08-17T22:31:19.375Z
云樱岛,324997,1786922972276,2026-08-17 07,5.311,0,2026-08-17T23:29:09.756Z
云樱岛,324997,1786924800000,2026-08-17 08,5.311,0,2026-08-17T23:29:09.756Z
云樱岛,324997,1786928400000,2026-08-17 09,5.311,0,2026-08-17T23:29:09.756Z
云樱岛,324997,1786932000000,2026-08-17 10,5.311,608,2026-08-17T23:29:09.756Z
云樱岛,324997,1786935600000,2026-08-17 11,5.175,3,2026-08-18T03:52:07.029Z
云樱岛,324997,1786939200000,2026-08-17 12,5.175,432,2026-08-18T03:52:07.029Z
云樱岛,324997,1786942800000,2026-08-17 13,5.161,137,2026-08-18T05:38:44.412Z
云樱岛,324997,1786946400000,2026-08-17 14,5.091,220,2026-08-18T06:55:39.020Z
云樱岛,324997,1786950000000,2026-08-17 15,5.245,915,2026-08-18T06:55:39.020Z
云樱岛,324997,1786953600000,2026-08-17 16,5.364,1175,2026-08-18T06:55:39.020Z
云樱岛,324997,1786957200000,2026-08-17 17,5.418,832,2026-08-18T06:55:39.020Z
